Outlet,String,Label,TagLabel,R.E.1,R.E.2,R.E.3,R.E.4,R.E.5,R.E.6,R.E.7,R.E.8,R.E.tag,R.E.tag.old
74150,r SALE Date: 31 Mar 1993 11:38:38 ,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74150, Mar 1993 11:38:38 -0500 Organizat,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyyoo,oooooyyyyoooooooooooyyyyoooooooooo
74150,.edu  BOAT For SALE 1989 23' IMPER,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74150,ontact Gerald at 1-(419)-756-2950,1,nnnnnnnnnnnnnnnnnyyyyyyyyyyyyyyyy,0,0,0,0,1,0,0,0,oooooooooooooooooyyyyyyyyyyyyyyyy,oooooooooooooooooyyyyyyyyyyyyyyyy
74150,t Gerald at 1-(419)-756-2950     ,1,nnnnnnnnnnnnyyyyyyyyyyyyyyyynnnnn,0,0,0,0,1,0,0,0,ooooooooooooyyyyyyyyyyyyyyyyooooo,ooooooooooooyyyyyyyyyyyyyyyyooooo
74150,rald at 1-(419)-756-2950          ,1,nnnnnnnnyyyyyyyyyyyyyyyynnnnnnnnnn,0,0,0,0,1,0,0,0,ooooooooyyyyyyyyyyyyyyyyoooooooooo,ooooooooyyyyyyyyyyyyyyyyoooooooooo
74722,e week Message-ID: <9304051853.AA1,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyoooo,ooooooooooooooooooooyyyyyyyyyyoooo
74722,ek Message-ID: <9304051853.AA11021,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooyyyyyyyyyyyoooooooo,ooooooooooooooooyyyyyyyyyyoooyyyyy
74722,e-ID: <9304051853.AA11021@aerie> D,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooyyyyyyyyyyyooooooooooooooooo,oooooooyyyyyyyyyyoooyyyyyooooooooo
74722,"et.pa.dec.com; id AA02982; Mon, 5 ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74722, 5 Apr 93 11:54:26 -0700 X-Receive,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74722,"-1.pa.dec.com; id AA02009; Mon, 5 ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74722, 5 Apr 93 11:54:25 -0700 X-Receive,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74722,soft.xerox.com ([13.242.72.2]) by,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,1,0,oooooooooooooooooooyyyyyyyooooooo,oooooooooooooooooooyyyyyyyyyooooo
74722,"x.com with SMTP id <11671>; Mon, 5",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74722,"<11671>; Mon, 5 Apr 1993 11:53:13 ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,oyyyyyooooooooooooooyyyyoooooooooo
74722,ed: from aerie ([13.242.56.32]) b,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,1,0,oooooooooooooooooooyyyyyyyooooooo,oooooooooooooooooooyyyyyyyyyyoooo
